,gssId,constituency_shortName,newPartyCode,partyCodeLast,turnout_percentage,majorityNow,resultBanner,fullName,party_shortName,votesNow,candidate_party_code
0,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Lauren Davies,Modern Alliance Coalition,21098,MAC
1,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Justin Henderson,Social Advancement,14789,SA
2,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Habiba Khan,Moderate Resistance Party,2466,MRP
3,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Jean Cleveland,Environmental Climate Alliance,1017,ECA
4,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Elise Taylor,Traditional Preservation Movement,543,TPM
5,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Crazy Chuck McGraw III,Nutty Noodle Alliance Party,211,NNAP
6,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Janae Sheridan,Independent,72,IND
7,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Hector Whelan,Independent,33,IND
8,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Mylo Mcgee,Independent,31,IND
9,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Adrienne Curtis,Independent,19,IND
10,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Jan Stuart,Independent,7,IND
11,UC0001,Nicarshire,MAC,MAC,87.1,6309,MAC HOLD,Wiktoria Rivas,Independent,5,IND
